Data,Dividendo
1993-11-19,0.12
1989-11-17,0.11
1990-05-21,0.11
2013-11-06,3.05
1993-02-12,0.12
2015-05-07,0.52
1989-02-17,0.1
2018-02-09,0.63
1990-08-20,0.11
1994-08-15,0.12
2014-02-06,3.05
2015-08-06,0.52
1995-05-26,0.12
1989-05-22,0.1
1994-11-18,0.12
1989-08-21,0.1
1990-11-16,0.12
2014-05-08,3.29
2014-11-06,0.47
1990-02-16,0.11
1993-08-16,0.12
2014-08-07,0.47
2015-02-05,0.47
1994-05-27,0.12
1994-02-07,0.12
2016-11-03,0.57
1987-08-10,0.06
1987-11-17,0.08
2017-05-11,0.63
1991-11-18,0.12
1991-02-15,0.12
2013-05-09,3.05
2015-11-05,0.52
2017-08-10,0.63
1988-05-16,0.08
1992-08-17,0.12
1995-02-13,0.12
1995-11-21,0.12
2013-08-08,3.05
2016-02-04,0.52
1988-08-15,0.08
1993-05-28,0.12
1988-11-21,0.1
1995-08-16,0.12
2017-11-10,0.63
1991-05-20,0.12
1992-06-01,0.12
1992-11-30,0.12
2012-11-07,2.65
1992-02-14,0.12
2016-05-05,0.57
2017-02-09,0.57
1991-08-19,0.12
1988-02-12,0.08
2012-08-09,2.65
2013-02-07,2.65
2016-08-04,0.57
1987-05-11,0.12
