Date,Open,High,Low,Close,Volume,Adj close
152007-10-31,105.400002,106.500000,104.540001,104.750000,0,104.750000
152007-11-30,104.750000,104.750000,103.669998,103.800003,0,103.800003
152007-12-31,103.800003,107.099998,103.800003,105.989998,0,105.989998
152008-01-31,105.989998,107.620003,105.570000,105.570000,0,105.570000
152008-02-29,106.199997,106.250000,104.879997,106.250000,0,106.250000
152008-03-31,106.250000,106.349998,102.879997,103.010002,0,103.010002
152008-04-30,105.349998,105.959999,102.639999,102.639999,0,102.639999
152008-05-31,102.639999,103.279999,101.320000,101.320000,0,101.320000
152008-06-30,101.320000,102.989998,100.470001,102.370003,0,102.370003
152008-07-31,102.370003,105.910004,102.370003,105.160004,0,105.160004
152008-08-31,105.160004,106.550003,105.160004,106.070000,0,106.070000
152008-09-30,106.070000,114.480003,104.610001,105.019997,0,105.019997
152008-10-31,105.739998,114.610001,105.739998,114.000000,0,114.000000
152008-11-30,114.449997,121.690002,111.300003,115.940002,0,115.940002
152008-12-31,115.040001,116.500000,104.559998,110.519997,0,110.519997
152009-01-31,109.739998,113.019997,109.739998,111.290001,0,111.290001
152009-02-28,111.070000,112.980003,108.500000,112.250000,0,112.250000
152009-03-31,111.879997,114.599998,110.180000,114.199997,0,114.199997
152009-04-30,113.820000,115.000000,108.870003,109.419998,0,109.419998
152009-05-31,108.269997,111.660004,107.660004,111.660004,0,111.660004
152009-06-30,111.309998,116.120003,111.309998,116.120003,0,116.120003
152009-07-31,116.019997,117.940002,115.050003,117.540001,0,117.540001
152009-08-31,117.309998,118.900002,114.480003,118.800003,0,118.800003
152009-09-30,118.230003,119.320000,115.720001,117.050003,0,117.050003
152009-10-31,117.750000,119.129997,116.110001,119.129997,0,119.129997
152009-11-30,119.360001,120.199997,117.400002,117.400002,0,117.400002
152009-12-31,116.820000,118.970001,116.820000,118.889999,0,118.889999
152010-01-31,119.019997,120.779999,118.430000,120.309998,0,120.309998
152010-02-28,120.720001,121.620003,119.800003,121.620003,0,121.620003
152010-03-31,121.970001,122.400002,120.900002,121.900002,0,121.900002
152010-04-30,122.129997,126.089996,120.720001,124.230003,0,124.230003
152010-05-31,125.120003,125.120003,120.500000,123.349998,0,123.349998
152010-06-30,123.760002,125.500000,123.000000,125.040001,0,125.040001
152010-07-31,125.300003,135.830002,124.949997,134.979996,0,134.979996
152010-08-31,134.699997,134.699997,127.629997,131.490005,0,131.490005
152010-09-30,131.639999,133.149994,129.250000,129.750000,0,129.750000
152010-10-31,130.669998,131.830002,121.839996,123.139999,0,123.139999
152010-11-30,123.040001,123.739998,120.000000,121.080002,0,121.080002
152010-12-31,121.360001,123.010002,119.000000,119.760002,0,119.760002
152011-01-31,120.070000,120.529999,117.570000,119.360001,0,119.360001
152011-02-28,119.550003,121.430000,117.459999,118.199997,0,118.199997
