Date,Open,High,Low,Close,Volume,Adj close
152007-10-30,105.400002,105.400002,105.400002,105.400002,0,105.400002
152007-11-09,105.400002,105.400002,105.169998,105.169998,0,105.169998
152007-11-14,105.169998,105.169998,105.169998,105.169998,0,105.169998
152007-11-19,105.169998,105.169998,105.169998,105.169998,0,105.169998
152007-11-29,105.169998,105.169998,104.540001,104.540001,0,104.540001
152007-12-04,104.750000,104.750000,104.750000,104.750000,0,104.750000
152007-12-14,104.750000,104.750000,103.800003,103.800003,0,103.800003
152007-12-19,103.800003,103.800003,103.800003,103.800003,0,103.800003
152008-01-03,103.800003,103.800003,103.800003,103.800003,0,103.800003
152008-01-08,103.800003,103.800003,103.800003,103.800003,0,103.800003
152008-01-18,105.599998,106.449997,105.599998,106.449997,0,106.449997
152008-01-23,107.099998,107.099998,106.099998,106.099998,0,106.099998
152008-01-28,106.099998,106.099998,106.099998,106.099998,0,106.099998
152008-02-07,105.949997,105.989998,105.949997,105.989998,0,105.989998
152008-02-12,107.620003,107.620003,107.620003,107.620003,0,107.620003
152008-02-22,107.620003,107.620003,105.570000,105.570000,0,105.570000
152008-02-27,105.570000,105.570000,105.570000,105.570000,0,105.570000
152008-03-03,105.570000,106.199997,105.570000,106.199997,0,106.199997
152008-03-13,106.099998,106.180000,106.070000,106.070000,0,106.070000
152008-03-18,105.889999,105.889999,105.889999,105.889999,0,105.889999
152008-03-28,105.709999,106.250000,105.709999,106.250000,0,106.250000
152008-04-02,106.250000,106.250000,106.250000,106.250000,0,106.250000
152008-04-07,106.250000,106.250000,106.250000,106.250000,0,106.250000
152008-04-17,106.250000,106.250000,104.150002,104.150002,0,104.150002
152008-04-22,104.150002,104.150002,104.150002,104.150002,0,104.150002
152008-05-02,104.150002,105.349998,104.150002,105.349998,0,105.349998
152008-05-07,105.349998,105.349998,105.349998,105.349998,0,105.349998
152008-05-12,105.300003,105.959999,105.300003,105.959999,0,105.959999
152008-05-22,105.959999,105.959999,103.930000,103.930000,0,103.930000
152008-05-27,103.930000,103.930000,103.930000,103.930000,0,103.930000
152008-06-06,103.930000,103.930000,102.129997,102.129997,0,102.129997
152008-06-11,102.129997,102.129997,102.129997,102.129997,0,102.129997
152008-06-16,102.129997,102.129997,102.129997,102.129997,0,102.129997
152008-06-26,102.129997,102.129997,101.320000,101.320000,0,101.320000
152008-07-01,101.320000,101.320000,101.320000,101.320000,0,101.320000
152008-07-11,100.470001,102.989998,100.470001,102.989998,0,102.989998
