Data,Dividendo
2006-05-03,0.1
2010-02-03,0.1575
2010-08-04,0.1575
1993-04-26,0.1024
1992-10-26,0.1
1997-01-29,0.0504
1997-07-30,0.03
2010-11-03,0.1575
2002-05-03,0.02
1993-07-26,0.0512
2006-02-03,0.1
2009-11-04,0.14
2011-05-04,0.1812
2014-02-05,0.225
2015-08-05,0.24
1996-10-30,0.0504
1998-04-29,0.03
2005-05-04,0.08
2009-08-05,0.14
2006-11-03,0.1
1998-01-28,0.03
2013-08-05,0.225
2005-08-03,0.08
1994-01-26,0.0512
2002-11-05,0.02
2001-08-03,0.02
2014-11-05,0.225
2002-02-05,0.02
2010-05-05,0.1575
2015-02-04,0.24
1997-10-29,0.03
2014-05-05,0.225
1995-07-28,0.04
2008-02-05,0.1275
2008-08-05,0.14
2012-02-03,0.21
2012-08-03,0.225
2000-08-03,0.02
2017-05-03,0.2725
2015-11-04,0.24
2009-05-05,0.14
2016-02-03,0.26
2013-05-03,0.225
2011-08-03,0.21
1994-04-25,0.0512
1996-01-30,0.04
2005-02-03,0.08
2007-08-03,0.1125
2000-02-03,0.03
2016-05-04,0.26
1994-10-26,0.0608
2003-08-05,0.02
2013-02-05,0.225
2016-08-03,0.26
2017-02-03,0.26
2005-11-03,0.08
2006-08-03,0.1
1993-01-26,0.1
2001-11-05,0.02
1998-08-05,0.03
2015-05-05,0.24
2013-11-05,0.225
2018-02-06,0.3
1993-10-26,0.0512
2001-02-05,0.02
2002-08-05,0.02
2011-02-03,0.1812
1996-07-30,0.0504
1998-11-04,0.04
2001-05-03,0.02
2003-02-05,0.02
2007-02-05,0.1125
2014-08-05,0.225
1997-04-29,0.0504
2004-05-05,0.04
2003-11-05,0.02
2016-11-03,0.26
1995-04-25,0.06
2007-11-05,0.1125
2008-05-05,0.14
1999-11-03,0.03
2000-05-03,0.03
2004-08-04,0.04
2004-02-04,0.04
1995-01-26,0.0608
1999-02-03,0.04
2017-08-03,0.2725
1996-04-29,0.04
2004-11-03,0.04
2007-05-03,0.1125
2009-02-04,0.14
1999-05-05,0.03
2017-11-06,0.2725
2000-11-03,0.02
2011-11-03,0.21
1994-07-26,0.0064
2003-05-05,0.02
1999-08-04,0.03
2008-11-05,0.14
2012-05-03,0.21
1995-10-30,0.04
2012-11-05,0.225
